id,game_session_id,time,mode,dice,dice_type,sides,rolls,total,has_match,outcome,points_delta,points_total
4,8f80b569-b80c-44c3-a7cc-9e8c28dac4ed,2026-03-12T04:35:32.805620+00:00,risk,3,D12,12,"[4, 10, 5]",19,0,lose,3,12
3,8f80b569-b80c-44c3-a7cc-9e8c28dac4ed,2026-03-12T04:35:15.800757+00:00,classic,8,D4,4,"[1, 1, 2, 3, 2, 4, 3, 2]",18,0,lose,3,9
2,8f80b569-b80c-44c3-a7cc-9e8c28dac4ed,2026-03-12T04:34:54.382276+00:00,classic,4,D4,4,"[3, 2, 3, 1]",9,0,lose,3,6
1,8f80b569-b80c-44c3-a7cc-9e8c28dac4ed,2026-03-12T04:34:26.671749+00:00,lucky,2,D8,8,"[8, 1]",9,0,lose,3,3
